referrer,views_total,views_unique
github.com,2625,1010
Google,899,597
Bing,556,212
chatgpt.com,115,77
link.zhihu.com,109,48
arxiv.org,97,32
is.cas.cn,60,21
huggingface.co,47,28
doubao.com,43,21
ai-bot.cn,34,17
