url_path,views_total,views_unique
/icip-cas/PPTAgent,1795,1162
/icip-cas/pptagent,643,468
/icip-cas/PPTAgent/tree/main/pptagent,135,70
/icip-cas/PPTAgent/tree/main,90,60
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,87,63
/icip-cas/PPTAgent/tree/main/deeppresenter,77,62
/icip-cas/PPTAgent/issues,66,43
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,61,54
/icip-cas/PPTAgent/blob/main/resource/v2/presentation2/0001.jpg,44,34
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0002.jpg,41,37
