url_path,views_total,views_unique
/icip-cas/PPTAgent,1929,1301
/icip-cas/pptagent,655,502
/icip-cas/PPTAgent/tree/main/deeppresenter,141,95
/icip-cas/PPTAgent/tree/main/pptagent,136,84
/icip-cas/PPTAgent/tree/main,87,60
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,68,53
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,67,52
/icip-cas/PPTAgent/issues,56,40
/icip-cas/PPTAgent/releases/tag/v2.0.0,55,45
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0002.jpg,47,41
