referrer,views_total,views_unique
github.com,1126,456
Google,480,343
Bing,399,156
chatgpt.com,190,90
huggingface.co,86,27
Baidu,63,10
link.zhihu.com,45,26
doubao.com,25,9
arxiv.org,22,16
aclanthology.org,19,3
