referrer,views_total,views_unique
github.com,1223,454
Google,498,366
Bing,340,128
chatgpt.com,290,121
DuckDuckGo,61,6
link.zhihu.com,42,30
arxiv.org,36,18
Baidu,34,19
huggingface.co,31,16
is.cas.cn,15,9
