url_path,views_total,views_unique
/icip-cas/PPTAgent,1955,1275
/icip-cas/pptagent,680,507
/icip-cas/PPTAgent/tree/main/pptagent,146,87
/icip-cas/PPTAgent/tree/main/deeppresenter,137,90
/icip-cas/PPTAgent/tree/main,97,56
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,67,52
/icip-cas/PPTAgent/issues,64,39
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,58,46
/icip-cas/PPTAgent/releases/tag/v2.0.0,53,42
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0002.jpg,42,38
