url_path,views_total,views_unique
/icip-cas/PPTAgent,1780,1203
/icip-cas/pptagent,624,461
/icip-cas/PPTAgent/tree/main/pptagent,140,76
/icip-cas/PPTAgent/tree/main/deeppresenter,115,84
/icip-cas/PPTAgent/tree/main,76,51
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,73,55
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,70,57
/icip-cas/PPTAgent/issues,68,44
/icip-cas/PPTAgent/releases/tag/v2.0.0,48,38
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0002.jpg,38,33
