referrer,views_total,views_unique
github.com,1265,443
Google,476,354
Bing,345,128
chatgpt.com,225,108
DuckDuckGo,61,6
huggingface.co,44,20
link.zhihu.com,42,30
arxiv.org,41,22
Baidu,33,18
is.cas.cn,17,10
