url_path,views_total,views_unique
/icip-cas/PPTAgent,1762,1214
/icip-cas/pptagent,611,454
/icip-cas/PPTAgent/tree/main/pptagent,148,77
/icip-cas/PPTAgent/tree/main/deeppresenter,108,78
/icip-cas/PPTAgent/tree/main,84,59
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,80,60
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,75,60
/icip-cas/PPTAgent/issues,66,43
/icip-cas/PPTAgent/releases/tag/v2.0.0,46,36
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0002.jpg,41,40
