time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-24 00:00:00+00:00,89,72,337,175
2026-05-25 00:00:00+00:00,324,90,632,255
2026-05-26 00:00:00+00:00,76,60,430,226
2026-05-27 00:00:00+00:00,77,59,492,238
2026-05-28 00:00:00+00:00,374,63,431,217
2026-05-29 00:00:00+00:00,89,48,470,194
2026-05-30 00:00:00+00:00,50,33,257,134
2026-05-31 00:00:00+00:00,54,42,315,162
2026-06-01 00:00:00+00:00,61,40,499,214
2026-06-02 00:00:00+00:00,81,61,292,156
2026-06-03 00:00:00+00:00,71,45,313,179
2026-06-04 00:00:00+00:00,65,57,369,178
2026-06-05 00:00:00+00:00,111,71,680,242
2026-06-06 00:00:00+00:00,41,36,312,151
