url_path,views_total,views_unique
/icip-cas/PPTAgent,1960,1277
/icip-cas/pptagent,680,507
/icip-cas/PPTAgent/tree/main/deeppresenter,138,89
/icip-cas/PPTAgent/tree/main/pptagent,138,83
/icip-cas/PPTAgent/tree/main,100,58
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,67,53
/icip-cas/PPTAgent/issues,61,39
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,58,45
/icip-cas/PPTAgent/releases/tag/v2.0.0,54,43
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0002.jpg,41,37
