referrer,views_total,views_unique
github.com,1098,446
Google,402,295
Bing,338,142
chatgpt.com,103,65
huggingface.co,63,17
arxiv.org,60,23
link.zhihu.com,53,26
Baidu,35,18
doubao.com,33,15
DuckDuckGo,22,5
