time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-07 00:00:00+00:00,36,26,251,90
2026-03-08 00:00:00+00:00,33,20,221,92
2026-03-09 00:00:00+00:00,61,44,741,215
2026-03-10 00:00:00+00:00,61,46,969,259
2026-03-11 00:00:00+00:00,74,56,827,263
2026-03-12 00:00:00+00:00,67,47,790,250
2026-03-13 00:00:00+00:00,35,32,552,211
2026-03-14 00:00:00+00:00,55,42,321,96
2026-03-15 00:00:00+00:00,41,33,282,114
2026-03-16 00:00:00+00:00,108,66,566,215
2026-03-17 00:00:00+00:00,89,57,902,260
2026-03-18 00:00:00+00:00,150,122,1895,564
2026-03-19 00:00:00+00:00,407,154,2565,754
2026-03-20 00:00:00+00:00,116,100,2290,785
