url_path,views_total,views_unique
/icip-cas/PPTAgent,1792,1168
/icip-cas/pptagent,621,469
/icip-cas/PPTAgent/tree/main/pptagent,139,74
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,90,64
/icip-cas/PPTAgent/tree/main,89,58
/icip-cas/PPTAgent/tree/main/deeppresenter,82,65
/icip-cas/PPTAgent/issues,65,42
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,64,56
/icip-cas/PPTAgent/blob/main/resource/v2/presentation2/0001.jpg,44,34
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0002.jpg,41,37
