url_path,views_total,views_unique
/icip-cas/PPTAgent,1908,1264
/icip-cas/pptagent,633,490
/icip-cas/PPTAgent/tree/main/deeppresenter,122,86
/icip-cas/PPTAgent/tree/main/pptagent,115,76
/icip-cas/PPTAgent/tree/main,84,61
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,77,58
/icip-cas/PPTAgent/issues,70,43
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,68,54
/icip-cas/PPTAgent/releases/tag/v2.0.0,55,46
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0002.jpg,47,41
