time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-07 00:00:00+00:00,98,65,593,254
2026-05-08 00:00:00+00:00,99,75,849,329
2026-05-09 00:00:00+00:00,69,54,566,249
2026-05-10 00:00:00+00:00,81,59,408,192
2026-05-11 00:00:00+00:00,850,73,599,309
2026-05-12 00:00:00+00:00,530,64,426,224
2026-05-13 00:00:00+00:00,118,56,451,229
2026-05-14 00:00:00+00:00,337,66,689,284
2026-05-15 00:00:00+00:00,77,46,569,229
2026-05-16 00:00:00+00:00,70,41,558,180
2026-05-17 00:00:00+00:00,101,48,348,171
2026-05-18 00:00:00+00:00,117,59,523,236
2026-05-19 00:00:00+00:00,267,86,522,240
2026-05-20 00:00:00+00:00,165,90,546,228
