referrer,views_total,views_unique
github.com,1220,476
Google,532,336
Bing,338,138
chatgpt.com,143,88
huggingface.co,74,23
arxiv.org,57,18
Baidu,47,8
link.zhihu.com,46,26
doubao.com,28,13
is.cas.cn,23,9
