time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-04 00:00:00+00:00,296,57,430,192
2026-08-05 00:00:00+00:00,73,52,452,192
2026-08-06 00:00:00+00:00,75,55,351,152
2026-08-07 00:00:00+00:00,176,43,313,151
2026-08-08 00:00:00+00:00,98,55,217,87
2026-08-09 00:00:00+00:00,139,74,199,103
2026-08-10 00:00:00+00:00,111,51,429,199
2026-08-11 00:00:00+00:00,404,50,437,186
2026-08-12 00:00:00+00:00,306,54,432,197
2026-08-13 00:00:00+00:00,174,131,400,188
2026-08-14 00:00:00+00:00,101,70,387,170
2026-08-15 00:00:00+00:00,327,71,168,97
2026-08-16 00:00:00+00:00,2728,60,156,96
2026-08-17 00:00:00+00:00,574,65,413,204
