url_path,views_total,views_unique
/icip-cas/PPTAgent,1842,1242
/icip-cas/pptagent,629,473
/icip-cas/PPTAgent/tree/main/deeppresenter,117,84
/icip-cas/PPTAgent/tree/main/pptagent,108,71
/icip-cas/PPTAgent/tree/main,80,57
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,76,56
/icip-cas/PPTAgent/issues,69,43
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,67,54
/icip-cas/PPTAgent/releases/tag/v2.0.0,55,45
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0002.jpg,44,38
