url_path,views_total,views_unique
/icip-cas/PPTAgent,1936,1292
/icip-cas/pptagent,673,504
/icip-cas/PPTAgent/tree/main/deeppresenter,145,94
/icip-cas/PPTAgent/tree/main/pptagent,145,84
/icip-cas/PPTAgent/tree/main,93,62
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,66,52
/icip-cas/PPTAgent/issues,64,40
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,62,48
/icip-cas/PPTAgent/releases/tag/v2.0.0,57,45
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0002.jpg,47,42
