time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-06 00:00:00+00:00,53,38,190,124
2026-09-07 00:00:00+00:00,99,55,370,191
2026-09-08 00:00:00+00:00,99,69,387,199
2026-09-09 00:00:00+00:00,90,64,416,198
2026-09-10 00:00:00+00:00,287,94,331,164
2026-09-11 00:00:00+00:00,390,287,322,145
2026-09-12 00:00:00+00:00,73,40,155,87
2026-09-13 00:00:00+00:00,139,42,136,88
2026-09-14 00:00:00+00:00,253,50,359,184
2026-09-15 00:00:00+00:00,152,56,381,195
2026-09-16 00:00:00+00:00,60,47,290,163
2026-09-17 00:00:00+00:00,311,63,370,187
2026-09-18 00:00:00+00:00,109,64,354,162
2026-09-19 00:00:00+00:00,85,53,153,89
