referrer,views_total,views_unique
github.com,1063,520
Google,448,322
Bing,240,135
chatgpt.com,160,95
arxiv.org,63,24
huggingface.co,47,19
yandex.ru,31,10
Baidu,29,17
t.co,22,20
link.zhihu.com,22,17
