time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-16 00:00:00+00:00,110,54,289,137
2026-07-17 00:00:00+00:00,77,45,267,133
2026-07-18 00:00:00+00:00,66,32,170,90
2026-07-19 00:00:00+00:00,100,36,218,105
2026-07-20 00:00:00+00:00,150,41,357,158
2026-07-21 00:00:00+00:00,176,61,440,276
2026-07-22 00:00:00+00:00,110,47,380,154
2026-07-23 00:00:00+00:00,254,66,277,142
2026-07-24 00:00:00+00:00,79,51,344,140
2026-07-25 00:00:00+00:00,44,32,221,105
2026-07-26 00:00:00+00:00,200,54,282,96
2026-07-27 00:00:00+00:00,1358,56,309,152
2026-07-28 00:00:00+00:00,376,71,283,156
2026-07-29 00:00:00+00:00,131,67,394,188
