url_path,views_total,views_unique
/icip-cas/PPTAgent,1739,1194
/icip-cas/pptagent,626,459
/icip-cas/PPTAgent/tree/main/pptagent,143,76
/icip-cas/PPTAgent/tree/main/deeppresenter,98,70
/icip-cas/PPTAgent/tree/main,88,62
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,81,60
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,76,61
/icip-cas/PPTAgent/issues,68,43
/icip-cas/PPTAgent/releases/tag/v2.0.0,44,35
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0002.jpg,43,36
