time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-14 00:00:00+00:00,337,66,689,284
2026-05-15 00:00:00+00:00,77,46,569,229
2026-05-16 00:00:00+00:00,70,41,558,180
2026-05-17 00:00:00+00:00,101,48,348,171
2026-05-18 00:00:00+00:00,117,59,523,236
2026-05-19 00:00:00+00:00,267,86,522,240
2026-05-20 00:00:00+00:00,165,90,546,228
2026-05-21 00:00:00+00:00,87,62,471,231
2026-05-22 00:00:00+00:00,538,108,589,263
2026-05-23 00:00:00+00:00,76,47,261,132
2026-05-24 00:00:00+00:00,89,72,337,175
2026-05-25 00:00:00+00:00,324,90,632,255
2026-05-26 00:00:00+00:00,76,60,430,226
2026-05-27 00:00:00+00:00,77,59,492,238
