referrer,views_total,views_unique
github.com,1247,440
Google,476,355
Bing,330,131
chatgpt.com,224,106
DuckDuckGo,60,5
arxiv.org,44,23
huggingface.co,44,20
link.zhihu.com,41,29
Baidu,33,18
is.cas.cn,17,10
