referrer,views_total,views_unique
github.com,1171,443
Google,468,337
Bing,278,123
chatgpt.com,217,101
arxiv.org,51,28
huggingface.co,45,21
Baidu,34,20
link.zhihu.com,29,23
yandex.ru,28,4
t.co,23,20
