url_path,views_total,views_unique
/icip-cas/PPTAgent,1756,1131
/icip-cas/pptagent,651,463
/icip-cas/PPTAgent/tree/main/deeppresenter,128,89
/icip-cas/PPTAgent/issues,122,61
/icip-cas/PPTAgent/tree/main/pptagent,112,84
/icip-cas/PPTAgent/tree/main,81,57
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,60,48
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,56,48
/icip-cas/PPTAgent/blob/main/README.md,42,33
/icip-cas/PPTAgent/blob/main/resource/v2/presentation2/0001.jpg,35,24
