referrer,views_total,views_unique
github.com,1136,446
Google,477,348
Bing,468,167
chatgpt.com,213,99
huggingface.co,86,26
Baidu,74,14
DuckDuckGo,66,7
link.zhihu.com,46,27
arxiv.org,21,15
is.cas.cn,20,9
