url_path,views_total,views_unique
/icip-cas/PPTAgent,1950,1275
/icip-cas/pptagent,679,504
/icip-cas/PPTAgent/tree/main/pptagent,144,85
/icip-cas/PPTAgent/tree/main/deeppresenter,137,89
/icip-cas/PPTAgent/tree/main,89,58
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,66,52
/icip-cas/PPTAgent/issues,63,40
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,59,47
/icip-cas/PPTAgent/releases/tag/v2.0.0,53,40
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0002.jpg,43,39
