time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-09 00:00:00+00:00,139,74,199,103
2026-08-10 00:00:00+00:00,111,51,429,199
2026-08-11 00:00:00+00:00,404,50,437,186
2026-08-12 00:00:00+00:00,306,54,432,197
2026-08-13 00:00:00+00:00,174,131,400,188
2026-08-14 00:00:00+00:00,101,70,387,170
2026-08-15 00:00:00+00:00,327,71,168,97
2026-08-16 00:00:00+00:00,2728,60,156,96
2026-08-17 00:00:00+00:00,574,65,413,204
2026-08-18 00:00:00+00:00,221,55,368,184
2026-08-19 00:00:00+00:00,875,58,412,191
2026-08-20 00:00:00+00:00,108,63,378,171
2026-08-21 00:00:00+00:00,550,69,342,163
2026-08-22 00:00:00+00:00,105,58,166,85
