referrer,views_total,views_unique
github.com,1210,470
Google,475,352
Bing,435,157
chatgpt.com,219,102
huggingface.co,71,20
DuckDuckGo,59,5
link.zhihu.com,49,27
Baidu,46,14
teams.public.onecdn.static.microsoft,19,6
arxiv.org,18,14
