url_path,views_total,views_unique
/icip-cas/PPTAgent,1862,1245
/icip-cas/pptagent,624,470
/icip-cas/PPTAgent/tree/main/deeppresenter,115,84
/icip-cas/PPTAgent/tree/main/pptagent,113,73
/icip-cas/PPTAgent/tree/main,82,58
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,78,58
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,69,56
/icip-cas/PPTAgent/issues,67,42
/icip-cas/PPTAgent/releases/tag/v2.0.0,48,41
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0002.jpg,45,39
