time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-07 00:00:00+00:00,50,33,396,170
2026-06-08 00:00:00+00:00,67,49,561,227
2026-06-09 00:00:00+00:00,52,47,654,236
2026-06-10 00:00:00+00:00,64,57,400,234
2026-06-11 00:00:00+00:00,129,74,346,187
2026-06-12 00:00:00+00:00,77,61,382,202
2026-06-13 00:00:00+00:00,40,34,245,115
2026-06-14 00:00:00+00:00,102,73,246,130
2026-06-15 00:00:00+00:00,110,78,390,188
2026-06-16 00:00:00+00:00,86,64,486,184
2026-06-17 00:00:00+00:00,179,130,534,230
2026-06-18 00:00:00+00:00,122,83,449,203
2026-06-19 00:00:00+00:00,104,66,304,140
2026-06-20 00:00:00+00:00,123,66,199,144
