url_path,views_total,views_unique
/icip-cas/PPTAgent,1765,1187
/icip-cas/pptagent,610,455
/icip-cas/PPTAgent/tree/main/pptagent,139,76
/icip-cas/PPTAgent/tree/main/deeppresenter,102,69
/icip-cas/PPTAgent/tree/main,89,61
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,80,60
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,73,61
/icip-cas/PPTAgent/issues,73,45
/icip-cas/PPTAgent/releases/tag/v2.0.0,45,36
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0002.jpg,41,39
