referrer,views_total,views_unique
github.com,1199,478
Google,481,338
Bing,410,163
chatgpt.com,135,82
huggingface.co,87,27
Baidu,61,9
link.zhihu.com,53,28
arxiv.org,26,17
aclanthology.org,19,3
zread.ai,19,2
