url_path,views_total,views_unique
/icip-cas/PPTAgent,1795,1198
/icip-cas/pptagent,604,456
/icip-cas/PPTAgent/tree/main/pptagent,135,72
/icip-cas/PPTAgent/tree/main/deeppresenter,96,67
/icip-cas/PPTAgent/tree/main,92,63
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,80,60
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,72,60
/icip-cas/PPTAgent/issues,70,45
/icip-cas/PPTAgent/releases/tag/v2.0.0,44,35
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0002.jpg,42,40
