referrer,views_total,views_unique
github.com,1114,456
Google,461,331
Bing,275,134
chatgpt.com,179,94
arxiv.org,73,25
huggingface.co,47,20
Baidu,32,19
link.zhihu.com,24,19
yandex.ru,24,4
t.co,23,20
