url_path,views_total,views_unique
/icip-cas/PPTAgent,1800,1205
/icip-cas/pptagent,619,464
/icip-cas/PPTAgent/tree/main/pptagent,119,74
/icip-cas/PPTAgent/tree/main/deeppresenter,115,83
/icip-cas/PPTAgent/tree/main,77,51
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,71,57
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,70,51
/icip-cas/PPTAgent/issues,64,40
/icip-cas/PPTAgent/releases/tag/v2.0.0,52,41
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0002.jpg,42,36
