referrer,views_total,views_unique
github.com,1488,569
Google,499,337
Bing,425,155
chatgpt.com,89,57
doubao.com,64,29
link.zhihu.com,59,30
huggingface.co,51,20
arxiv.org,49,19
Baidu,37,17
is.cas.cn,32,12
