url_path,views_total,views_unique
/icip-cas/PPTAgent,1960,1254
/icip-cas/pptagent,676,490
/icip-cas/PPTAgent/tree/main/deeppresenter,140,92
/icip-cas/PPTAgent/tree/main/pptagent,131,81
/icip-cas/PPTAgent/tree/main,99,59
/icip-cas/PPTAgent/issues,68,43
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,66,50
/icip-cas/PPTAgent/releases/tag/v2.0.0,54,43
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,50,40
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0002.jpg,42,37
