url_path,views_total,views_unique
/icip-cas/PPTAgent,1778,1166
/icip-cas/pptagent,665,490
/icip-cas/PPTAgent/tree/main/pptagent,142,75
/icip-cas/PPTAgent/tree/main,101,66
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,90,63
/icip-cas/PPTAgent/tree/main/deeppresenter,85,69
/icip-cas/PPTAgent/issues,61,43
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,59,50
/icip-cas/PPTAgent/blob/main/resource/v2/presentation2/0001.jpg,42,32
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0002.jpg,40,36
