url_path,views_total,views_unique
/icip-cas/PPTAgent,1801,1173
/icip-cas/pptagent,657,489
/icip-cas/PPTAgent/tree/main/pptagent,147,77
/icip-cas/PPTAgent/tree/main,102,69
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,91,65
/icip-cas/PPTAgent/tree/main/deeppresenter,86,69
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,57,48
/icip-cas/PPTAgent/issues,54,42
/icip-cas/PPTAgent/releases/tag/v2.0.0,45,31
/icip-cas/PPTAgent/blob/main/resource/v2/presentation2/0001.jpg,44,33
