time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-31 00:00:00+00:00,63,45,292,133
2026-08-01 00:00:00+00:00,63,36,166,79
2026-08-02 00:00:00+00:00,94,35,176,93
2026-08-03 00:00:00+00:00,87,45,404,182
2026-08-04 00:00:00+00:00,296,57,430,192
2026-08-05 00:00:00+00:00,73,52,452,192
2026-08-06 00:00:00+00:00,75,55,351,152
2026-08-07 00:00:00+00:00,176,43,313,151
2026-08-08 00:00:00+00:00,98,55,217,87
2026-08-09 00:00:00+00:00,139,74,199,103
2026-08-10 00:00:00+00:00,111,51,429,199
2026-08-11 00:00:00+00:00,404,50,437,186
2026-08-12 00:00:00+00:00,306,54,432,197
2026-08-13 00:00:00+00:00,174,131,400,188
