referrer,views_total,views_unique
github.com,1142,453
Google,408,307
Bing,342,147
chatgpt.com,99,66
arxiv.org,60,22
Baidu,60,19
link.zhihu.com,54,27
doubao.com,34,14
huggingface.co,28,14
DuckDuckGo,23,6
