referrer,views_total,views_unique
github.com,1090,451
Google,460,331
Bing,258,132
chatgpt.com,173,90
arxiv.org,72,25
huggingface.co,42,17
Baidu,33,19
t.co,24,21
link.zhihu.com,24,19
yandex.ru,24,4
